asw,s,d,f,g,h,j,k,l
1-3年,本科,上海,浦东新区,张江,10,15K,翀远,Python.Spark.Hadoop.Java
3-5年,本科,上海,青浦区,虹桥枢纽周边区,15,26K·14薪,中通快运,Java.Python.Spark.Flume.Kafka.Hadoop.Sqoop.Streaming
3-5年,本科,上海,浦东新区,张江,20,40K,孤波,数仓建设经验.Java.大数据开发经验.Kafka.计算机相关专业.Spark.Flink.Python.SQL
5-10年,本科,上海,青浦区,徐泾,20,40K·14薪,九方智投,Java.Kafka.Flink.大数据开发经验.数仓建设经验
1-3年,本科,上海,浦东新区,临港,11,18K·13薪,上海虹莱信息科技,SQL.Spark.Hadoop.Flink.HIVE.Streaming.ETL.BI
3-5年,本科,上海,静安区,汶水路,15,20K,龙软集团,SQL.Kettle.数仓建设经验.计算机相关专业.ETL开发经验.海关报关相关工作.海运物流.进出口贸易行业
3-5年,本科,上海,黄浦区,新天地,25,50K·15薪,小红书数仓,Hadoop.Spark.Java
3-5年,大专,广州,,,13,23K·14薪,TEKsystems,SQL.HIVE.Spark.Presto
1-3年,本科,广州,越秀区,东风东,8,11K,东信网络,Java.Python.Spark.计算机相关专业.大数据开发经验.英美留学生.澳加留学生.欧洲留学生
经验不限,本科,广州,,,6,10K,和元达,网络爬虫技术.MySQL
3-5年,大专,广州,,,12,17K,葡萄柚,Spark.Hive
经验不限,学历不限,广州,黄埔区,中心城,12,24K·14薪,多益网络,Flink.Spark.大数据
3-5年,大专,广州,天河区,五山,13,18K,建广数科,Spark.Hive.Flink.计算机相关专业.大数据开发经验.数仓建设经验.hadoop.kafka.elasticsearch
经验不限,硕士,广州,,,6,11K,广州科技职业技术大学,SQL.Kettle.Hadoop.HIVE.Oracle.Python.MySQL.Kafka
3-5年,本科,广州,荔湾区,东塱,20,40K,IEF服饰,全职
5-10年,学历不限,广州,天河区,岗顶,10,15K,早勤企业,Hive.Spark.Flink.计算机相关专业.数学/统计相关专业.大数据开发经验
5-10年,大专,广州,番禺区,华南,16,19K,上海思芮,Scala.Spark.Hbase.或MSSQL或SqlServer
1-3年,大专,广州,黄埔区,小新塘,8,13K,致盛技术,Spark.Hadoop.Flink.Kafka.Kylin
3-5年,本科,广州,天河区,高唐,15,30K,泰迪智能科技,大数据开发经验.Python.Hive.Spark
3-5年,本科,广州,天河区,跑马场,12,16K,深圳鼎驰科技,Java.计算机相关专业.大数据开发经验
经验不限,学历不限,广州,黄埔区,知识城,16,30K,优诚,Python.Hive.Spark
经验不限,本科,广州,,,2,4K,广州弘凯物联网服...,Python.Spark
1-3年,本科,广州,黄埔区,知识城,15,28K·13薪,神州信息,ETL.Linux.MySQL
3-5年,大专,广州,花都区,铁路西,13,15K,新致软件,Hadoop.Python、java
3-5年,本科,广州,黄埔区,知识城,14,19K,博彦科技,SQL.Shell.Hive.大数据开发经验.ETL开发经验.python.dataphin.maxcomputer
1年以内,本科,广州,越秀区,东风东,8,10K,征安智能,Java.数仓建设经验.大数据开发经验.留学生优先.英美留学生.devops.CI/CD.Agile.Spark.计算机相关专业.Python
3-5年,大专,广州,天河区,小新塘,20,30K,上海瑞应人才科技,Java.Python.大数据开发经验.数仓建设经验.ETL开发经验.Hadoop.Ambari.clickhouse
3-5年,本科,广州,天河区,龙口,13,22K,中软国际,Flink.Spark.Python.大数据开发经验.Doris.机器学习.实时数据
5-10年,大专,广州,天河区,小新塘,20,25K,人瑞集团,Java.大数据开发经验.HCIP.HCIE.Spark.Flink
1年以内,硕士,广州,天河区,珠江新城,18,30K·18薪,正圆投资,Java.Spark.Flink.计算机相关专业.大数据开发经验.Doris.离线.实时
3-5年,大专,广州,番禺区,华南,15,17K,得逸信息,Python.SAS.SQL.数学/统计相关专业.数据分析/挖掘经验.金融行业数据相关经验
经验不限,大专,广州,白云区,机场路,15,25K,问问科技,ETL开发经验.datemax.quickbi.前端工具
5-10年,大专,广州,天河区,小新塘,18,30K,笑翠鸟,Python.Java.SQL.深度学习算法.机器学习算法.Spark.Hadoop.Storm
1-3年,本科,广州,天河区,珠江新城,10,12K,雀翼科技,Spark.Flink.Hbase.ETL开发经验.数仓建设经验.大数据开发经验.Doris
1-3年,本科,广州,天河区,岑村,7,10K·14薪,名通科技,Hadoop.Kafka.Python/Shell.大数据运维经验.运维开发经验
1-3年,本科,广州,,,7,10K,广州宏途数字,Excel.SQL.PPT
1-3年,大专,广州,白云区,白云大道,8,12K,数智网络,Python.Scala.Spark.Hadoop.Kafka.Flume.大数据
1-3年,本科,广州,天河区,时尚天河,17,29K·13薪,信必优Symbio,SQL.Python.数据建模经验.大数据开发经验.Linux.BI.运维
3-5年,本科,广州,天河区,珠江新城,10,15K,泛华金融服务集团,Spark.HIVE.Java.Scala.Zookeeper.Hadoop.Spark.Python
1-3年,大专,广州,白云区,新市,12,18K·13薪,义翎智能科技,大数据风控；.信用风险管理；.建模
1-3年,本科,广州,,,15,26K,某知名互联网上市公司,数据仓库.Python.Shell.Hadoop.Spark.数据库开发.Java.大数据
3-5年,本科,广州,天河区,珠江新城,13,23K,赛意信息,Python.Java.SQL
3-5年,本科,广州,天河区,棠下,10,15K,国交润万交通信息,kittle、hadoop.Hive.ETL开发经验.Hbase.hivesql.设计/调度/监控/算法
5-10年,大专,广州,海珠区,琶洲,16,23K·13薪,海南钦诚,Spark.Kafka.计算机相关专业.大数据开发经验
1-3年,本科,广州,黄埔区,知识城,13,21K·13薪,恩士迅信息科技上海,Python.Shell.Spark.大数据开发经验.databricks.sparkstreaming
3-5年,本科,广州,黄埔区,科学城,11,14K,佰聆数据,Java.大数据开发经验.留学生优先.英美留学生.Spark.英语
3-5年,大专,广州,天河区,小新塘,16,28K,安徽云外勤,MySQL/Oracle/DB2.Java.Shell.ETL设计/开发经验.大数据开发经验.Linux
3-5年,本科,广州,天河区,天河北,30,60K,itc华银,数据产品.数据中台.大数据
3-5年,本科,广州,越秀区,水荫,14,20K,煜晨科技,技术栈..有团队.独立开发能力
1-3年,本科,广州,越秀区,沿江路,11,20K,广州交信投,HIVE.Hive.Shell.Kettle.ETL开发经验.Hadoop.Kafka.计算机相关专业.Spark.SQL.数学/统计相关专业
经验不限,大专,广州,番禺区,大学城,15,30K,有米科技,Kettle/Informatica.Java.Python.计算机相关专业.ETL设计/开发经验.大数据开发经验
3-5年,本科,广州,天河区,棠下,15,25K,广州骏伯网络,新客户开发.互联网/科技.软件/SaaS.抖音电商
3-5年,本科,广州,白云区,白云大道,11,18K·13薪,东呈集团,Scala.Spark.Java.Doris.大数据
经验不限,学历不限,广州,荔湾区,西关,5,10K,有家互联网,MySQL
3-5年,大专,广州,黄埔区,科学城,9,12K,法本,数据仓库.数据库开发.数据挖掘.数据分析
1-3年,大专,广州,番禺区,市桥,8,13K,鼎牛网络,Kettle/Informatica.MySQL/Oracle/DB2.Java.ETL设计/开发经验.计算机相关专业.DataServcies.Greenplum.scala、python
1-3年,本科,广州,,,15,25K,某500强上市公司,ETL.数据库.hadoop
1-3年,本科,广州,越秀区,建设路,15,25K,华为,大数据开发经验
3-5年,本科,广州,天河区,珠江新城,20,40K,莘众企业,Spark.Scala.计算机相关专业.大数据开发经验.大数据架构设计经验
5-10年,大专,广州,天河区,天河公园,20,35K,天纵游戏,Python.Java.SQL.计算机相关专业.数学/统计相关专业.大数据开发经验
经验不限,大专,广州,番禺区,市桥,3,5K,爱学科技,Scala.Java.数学/统计相关专业.fink.ck
3-5年,大专,广州,天河区,时尚天河,9,12K,天地网通,数据标注.图片.全职工作.文字.音频.接受加班.图片标注.不涉黄涉暴
3-5年,本科,广州,天河区,员村,16,25K·13薪,中电金信,团队管理经验
3-5年,本科,广州,从化区,江埔,10,15K·13薪,中科特瑞,ETL开发经验.Tableau、Alteryx.不加班双休.外企优先英文面试
经验不限,学历不限,广州,海珠区,琶洲,20,23K,软通动力,大数据开发经验.计算机相关专业.数学/统计相关专业
1-3年,大专,广州,,,12,20K,吉信科技,大数据开发经验
经验不限,硕士,广州,,,25,40K,某知名互联网金融公司,渠道数据分析经验.算法工程经验.金融行业
1-3年,本科,广州,海珠区,工业大道,10,15K,谐云,Java.大数据开发经验.数据中台.标签管理系统.数据资产管理
3-5年,本科,广州,番禺区,华南,11,15K,芳禾数据,Java.Python.计算机相关专业.大数据开发经验
1-3年,本科,广州,海珠区,琶洲,15,25K·13薪,斗鱼,定性研究.数据分析/商业分析经验.管理咨询工作经验.计算机相关专业.旅游业.消费文旅.新能源汽车
经验不限,本科,广州,天河区,跑马场,25,45K,广发证券,Java.推荐系统.实时数据.大数据开发
3-5年,本科,广州,黄埔区,科学城,10,14K,德科信息,Python.Shell.Spark.Hadoop.Kafka
3-5年,本科,广州,天河区,东圃,28,55K,传智教育,Spark.Kafka.Flink.计算机相关专业.大数据开发经验.数仓建设经验.Scala.离线.hadoop
3-5年,本科,广州,天河区,岑村,13,26K·15薪,钛动科技,Python.Spark.Hive.计算机相关专业.大数据开发经验.高可用、Java
3-5年,本科,广州,海珠区,琶洲,15,25K,Veeking,Java.Python.SQL.计算机相关专业.大数据开发经验
3-5年,本科,广州,黄埔区,科学城,16,20K,源典科技,Hive.Hadoop.Spark.金融
3-5年,本科,广州,天河区,跑马场,10,14K,深圳网新新思,Kafka.Flink.SQL.大数据开发经验.数仓建设经验.计算机相关专业
3-5年,大专,广州,番禺区,大学城,28,45K,奥得科技,Java.Python.Hive.计算机相关专业.数学/统计相关专业
3-5年,大专,广州,黄埔区,科学城,12,15K,米奥科技,Java
1-3年,本科,广州,天河区,珠江新城,6,8K·13薪,数砚科技,Java.Hive.Spark.计算机相关专业.大数据开发经验.ETL开发经验
1-3年,本科,广州,海珠区,琶洲,10,13K,嘉盛达,业务导向.Python.计算机相关专业
1-3年,本科,广州,海珠区,赤岗,12,24K,药师帮,Flink.Kafka.ETL开发经验.大数据开发经验.数学/统计相关专业.数据开发.大数据开发.大数据
3-5年,本科,广州,天河区,时尚天河,15,20K,简知科技,Python.Spark.HIVE.Hadoop
3-5年,大专,广州,黄埔区,科学城,12,20K,福斯拓,大数据开发经验.数仓建设经验.ETL开发经验
3-5年,本科,广州,白云区,机场路,12,20K,广州智算,ETL开发经验.大数据开发经验.数仓建设经验.数模设计
1-3年,大专,广州,天河区,珠江新城,10,15K,蚁群信息科技,Hadoop
5-10年,大专,广州,,,40,60K·16薪,某知名大数据企业,Kettle.Flink.MaxCompute.DataWorks
3-5年,本科,广州,天河区,天河北,20,25K,淘通科技,Java.Spark.Kafka.大数据平台架构经验.数据平台
1-3年,本科,广州,黄埔区,知识城,11,19K·13薪,大连智捷企业管理...,SQL.需求分析.产品设计
5-10年,本科,广州,番禺区,南村,25,40K·14薪,SHEIN,英语
3-5年,大专,广州,海珠区,琶洲,10,15K·13薪,三盟科技,Hbase.计算机相关专业
3-5年,本科,广州,,,12,18K·18薪,中移互联网,售前技术支持经验.大数据.教育
3-5年,本科,广州,黄埔区,科学城,11,20K,东方金信,数据开发
1-3年,本科,广州,天河区,珠江新城,10,15K,广州南天,ETL设计/开发经验.大数据开发经验
5-10年,本科,广州,番禺区,南村,20,35K·14薪,SHEIN,Python.Hive.Spark.linux.Hadoop
5-10年,本科,广州,,,15,30K,翰竺科技,Hive.Spark.Hbase.大数据开发经验.数仓建设经验.ETL开发经验
1-3年,学历不限,广州,天河区,棠下,9,14K,宜通衡睿,Python.Spark.大数据开发经验.英语流利
1-3年,本科,广州,白云区,永泰,11,20K,顺丰速运,搜索/推荐.风控/反欺诈.智能营销/广告.Python.R.Hadoop/Hive/Spark.计算机相关专业.机器学习算法/工程化经验.深度学习经验
3-5年,大专,广州,天河区,岑村,15,18K,润建股份,SQL.Python.R.数学/统计相关专业.计算机相关专业.数据分析/挖掘经验.数据挖掘.数据分析.建模
3-5年,学历不限,广州,海珠区,琶洲,11,22K,中杰科技,Java.Python.SQL.计算机相关专业.大数据开发经验.Postgresql.微服务.Ajax
3-5年,大专,广州,番禺区,钟村,10,15K,晨星,Java.Python
3-5年,本科,广州,荔湾区,龙溪,15,28K,绿瘦健康产业集团,Java.Python.Scala.大数据开发经验
5-10年,大专,广州,,,50,75K,某知名企业,Hive.Spark.Flink.计算机相关专业.大数据开发经验
3-5年,大专,广州,天河区,岑村,16,17K,光科技术,产品设计.数据分析.需求分析.用户增长.平台产品.物联网产品
3-5年,本科,广州,番禺区,市桥,8,13K,广州幸荷,Hadoop.hive.数据仓库ES
5-10年,大专,广州,天河区,棠下,15,23K,广州霆万科技有限公司,SQL.Python.数学/统计相关专业.计算机相关专业.数据分析/挖掘经验
3-5年,本科,广州,越秀区,五羊新城,15,30K·14薪,南方+,Java.计算机相关专业
经验不限,高中,广州,番禺区,番禺广场,7,12K,云领未来网络科技,Hive.数据分析.数据产品经理
经验不限,博士,广州,南沙区,珠江旧镇,20,30K,广州中科院软件所,客户关系维护.微信营销.其他线上社区营销.医疗/大健康.互联网/科技.网络营销经验.电话销售经验
3-5年,本科,广州,黄埔区,鱼珠,15,20K,腾云悦智,研究导向.机器学习算法.人工智能
3-5年,本科,广州,天河区,岑村,12,16K,广州亚信信息技术,后端工程师.Java.C/C++.Java开发经验.大数据处理经验.Kubernetes
3-5年,本科,广州,天河区,小新塘,15,16K·13薪,宇信科技,Hive.Spark.Kettle.计算机相关专业.数仓建设经验.大数据开发经验.Hadoop
3-5年,大专,广州,天河区,车陂,10,15K,博采精取,Spark.Storm.Kafka.Redis
5-10年,本科,广州,,,60,80K·14薪,某500强上市公司,Java.Hadoop
5-10年,本科,广州,番禺区,石楼,20,40K,广州汽车集团股份...,大数据平台.大数据总监.大数据负责人
经验不限,本科,广州,,,25,26K·15薪,某知名企业,Java.Python.Datastage.Spark.HIVE.Kafka.QlikView
5-10年,本科,广州,,,50,80K·14薪,某500强上市公司,Python.Flume.Kafka.Hadoop.MapReduce.Zookeeper
3-5年,本科,广州,黄埔区,科学城,15,18K,润和软件,大数据开发经验.Kafka.Spark.Flink
经验不限,本科,广州,,,50,60K,某大型知名互联网上市公司,Spark.Java.Hive.计算机相关专业.大数据开发经验
5-10年,本科,广州,黄埔区,万达广场,20,30K,佳都科技,大数据平台架构经验
1-3年,本科,广州,越秀区,环市东,15,16K,飞虎商联(广州)...,Java.Spark.大数据平台架构经验.大数据组件选型.minIO.seaweedFS
5-10年,本科,广州,天河区,棠下,13,20K·13薪,九四智能,Java
5-10年,本科,广州,,,65,85K·14薪,某大型互联网上市集团公司,计算机相关专业.大数据开发经验.数仓建设经验.bi工程师
3-5年,本科,广州,越秀区,水荫,14,19K·13薪,瑞遥科技,Hive.Spark
经验不限,本科,广州,,,90,95K·16薪,某500强上市公司,SQL.Hive.Spark.计算机相关专业.大数据开发经验.ETL开发经验
5-10年,本科,广州,天河区,员村,20,30K·13薪,益世界,Spark.Flink.Kafka.大数据开发经验
3-5年,本科,广州,天河区,员村,12,20K,中国电信亿迅科技,SQL.Flink.Spark.数据仓库.游戏行业.实时
在校/应届,本科,广州,天河区,体育中心,5,6K,广州智算,Python.Spark.Hadoop.Flink
,本科,广州,天河区,燕岭,220,260元/天,星环,Spark.Hive
在校/应届,本科,广州,天河区,五山,7,10K·13薪,中数通,SQL.Spark.Hive.大数据开发经验.数仓建设经验
3-5年,大专,广州,,,13,23K·14薪,TEKsystems,Spark.Hadoop
经验不限,本科,广州,,,6,10K,和元达,Java.Python.Spark.计算机相关专业.大数据开发经验.英美留学生.澳加留学生.欧洲留学生
,本科,广州,天河区,猎德,130,230元/天,Mobvista,Spark.Hive
1-3年,本科,广州,越秀区,东风东,8,11K,东信网络,Hive.Spark.Flink
3-5年,大专,广州,,,12,17K,葡萄柚,网络爬虫技术.MySQL
,本科,广州,海珠区,琶洲,150,200元/天,星河智联,Flink.Spark.大数据
,本科,广州,天河区,小新塘,140,150元/天,德勤咨询(广州)...,需求分析.产品设计.数据分析
,本科,广州,海珠区,新港西路沿线,150,200元/天,广州市福思特科技...,Python.Spark.Flume.Kafka.Hadoop.Java.Hive
在校/应届,本科,广州,,,面议,,广东联通,物流行业数据相关经验.电商大数据方向
经验不限,本科,广州,,,2,4K,广州弘凯物联网服...,运营商.大数据
1-3年,大专,广州,天河区,上社,10,15K,中软国际,ETL.Linux.MySQL
5-10年,学历不限,广州,天河区,岗顶,10,15K,早勤企业,HIVE.大数据开发经验.Hadoop.Kafka.Spark.Hbase.Flink.tdsql
1-3年,本科,广州,天河区,岑村,7,10K·14薪,名通科技,Scala.Spark.Hbase.或MSSQL或SqlServer
经验不限,学历不限,广州,黄埔区,中心城,12,24K·14薪,多益网络,Excel.SQL.PPT
3-5年,大专,广州,海珠区,广州大道南,13,18K,神州信息,Spark.Hive.Flink.计算机相关专业.大数据开发经验.数仓建设经验.hadoop.kafka.elasticsearch
3-5年,本科,广州,天河区,跑马场,12,16K,深圳鼎驰科技,银行.PLSQL.监管/报送
经验不限,学历不限,广州,黄埔区,知识城,16,30K,优诚,Python.Hive.Spark
1-3年,大专,广州,白云区,白云大道,8,12K,数智网络,Python.Spark
经验不限,学历不限,广州,荔湾区,西关,5,10K,有家互联网,SQL.Python.数据建模经验.大数据开发经验.Linux.BI.运维
5-10年,大专,广州,天河区,小新塘,20,25K,人瑞集团,数据仓库.数据库开发.数据挖掘.数据分析
3-5年,大专,广州,天河区,五山,13,18K,建广数科,Java.Spark.Flink.计算机相关专业.大数据开发经验.Doris.离线.实时
5-10年,大专,广州,天河区,小新塘,18,30K,笑翠鸟,SQL.Kettle.Hadoop.HIVE.Oracle.Python.MySQL.Kafka
1-3年,大专,广州,黄埔区,小新塘,8,13K,致盛技术,Spark.Flink.Hbase.ETL开发经验.数仓建设经验.大数据开发经验.Doris
1年以内,本科,广州,越秀区,东风东,8,10K,征安智能,大数据开发经验.Python.Hive.Spark
1-3年,大专,广州,天河区,珠江新城,8,11K,晟轩未来科技,Java.Python.大数据开发经验.数仓建设经验.ETL开发经验.Hadoop.Ambari.clickhouse
经验不限,大专,广州,番禺区,市桥,3,5K,爱学科技,大数据运维经验.大数据.Hadoop.数仓
经验不限,大专,广州,番禺区,长隆,12,20K·13薪,茹量科技,数据标注.图片.全职工作.文字.音频.接受加班.图片标注.不涉黄涉暴
3-5年,学历不限,广州,天河区,小新塘,15,22K,上海瑞应人才科技,SQL.Scala.Oracle.MySQL.Redis.Hadoop.Spark.Impala
5-10年,大专,广州,番禺区,华南,16,19K,上海思芮,Flink.doris
经验不限,硕士,广州,,,6,11K,广州科技职业技术大学,Spark.Hadoop.Flink.Kafka.Kylin
1-3年,本科,广州,,,7,10K,广州宏途数字,全职
经验不限,大专,广州,白云区,机场路,15,25K,问问科技,Python.Scala.Spark.Hadoop.Kafka.Flume.大数据
1-3年,大专,广州,白云区,新市,12,18K·13薪,义翎智能科技,Python.Java.SQL.深度学习算法.机器学习算法.Spark.Hadoop.Storm
在校/应届,本科,广州,天河区,小新塘,8,9K,德勤,数据仓库.Python.Shell.Hadoop.Spark.数据库开发.Java.大数据
经验不限,大专,广州,番禺区,大学城,10,15K,探迹,数学/统计相关专业.数据分析/挖掘经验.计算机相关专业
5-10年,大专,广州,海珠区,琶洲,16,23K·13薪,海南钦诚,对企业/机构（ToB）销售经验.电话销售经验.面销/陌拜经验.企业（ToB）.互联网/科技.软件/企业服务产品.电话销售.面销/陌拜.会展销售
1-3年,本科,广州,天河区,时尚天河,17,29K·13薪,信必优Symbio,Python.Shell.Spark.大数据开发经验.databricks.sparkstreaming
1-3年,大专,广州,番禺区,市桥,8,13K,鼎牛网络,Spark.HIVE.Java.Scala.Zookeeper.Hadoop.Spark.Python
3-5年,本科,广州,番禺区,市桥,8,13K,广州幸荷,ETL.数据库.hadoop
3-5年,本科,广州,黄埔区,知识城,12,24K,赞美网络,SQL.Python.数学/统计相关专业.计算机相关专业.数据分析/挖掘经验
1-3年,大专,广州,越秀区,东风东,10,15K,上海博登信息,Python.Scala.Spark
3-5年,本科,广州,荔湾区,东塱,20,40K,IEF服饰,Linux
3-5年,大专,广州,花都区,铁路西,13,15K,新致软件,Hive.Spark.Flink.计算机相关专业.数学/统计相关专业.大数据开发经验
在校/应届,硕士,广州,天河区,天河北,12,24K,华南水电高新技术,SQL.Shell.Hive.大数据开发经验.ETL开发经验.python.dataphin.maxcomputer
3-5年,大专,广州,天河区,时尚天河,9,12K,天地网通,数学/统计相关专业.计算机相关专业.数据分析/挖掘经验
经验不限,大专,广州,番禺区,大学城,15,30K,有米科技,团队管理经验
1-3年,本科,广州,天河区,珠江新城,10,15K,广州南天,新客户开发.互联网/科技.软件/SaaS.抖音电商
经验不限,学历不限,广州,海珠区,琶洲,20,23K,软通动力,Python.Hive.Spark.linux.Hadoop
1年以内,硕士,广州,天河区,珠江新城,18,30K·18薪,正圆投资,大数据开发经验
1-3年,大专,广州,,,12,20K,吉信科技,Python.SAS.SQL.数学/统计相关专业.数据分析/挖掘经验.金融行业数据相关经验
3-5年,学历不限,广州,花都区,炭步,11,12K,广州阿尔法智能,渠道数据分析经验.算法工程经验.金融行业
3-5年,大专,广州,番禺区,长隆,11,15K,云链,合伙人
3-5年,本科,广州,天河区,高唐,15,30K,泰迪智能科技,Flink.大数据开发经验
在校/应届,本科,广州,,,12,24K·13薪,论客科技,Java.计算机相关专业.大数据开发经验
3-5年,大专,广州,海珠区,琶洲,10,15K·13薪,三盟科技,计算机相关专业.数学/统计相关专业.大数据开发经验
1-3年,本科,广州,天河区,珠江新城,10,12K,雀翼科技,售前技术支持经验.大数据.教育
3-5年,本科,广州,天河区,跑马场,11,15K·13薪,博彦科技,Hadoop.Kafka.Python/Shell.大数据运维经验.运维开发经验
经验不限,学历不限,广州,海珠区,琶洲,12,22K,带我飞,Python.Hive.Flink.计算机相关专业
3-5年,本科,广州,天河区,棠下,10,15K,国交润万交通信息,Java.后端开发.中间件
5-10年,本科,广州,海珠区,官洲,11,20K·18薪,联通(广东)产业互联网,Spark.Kafka.计算机相关专业.大数据开发经验
1-3年,本科,广州,海珠区,琶洲,15,25K·13薪,斗鱼,计算机相关专业.大数据开发经验
3-5年,大专,广州,黄埔区,科学城,12,15K,米奥科技,Java.推荐系统.实时数据.大数据开发
3-5年,学历不限,广州,海珠区,琶洲,11,22K,中杰科技,Java.Hive.Spark.计算机相关专业.大数据开发经验.ETL开发经验
1-3年,本科,广州,白云区,永泰,11,20K,顺丰速运,Java.Python
3-5年,大专,广州,黄埔区,科学城,12,20K,福斯拓,SQL.Python.R.数学/统计相关专业.计算机相关专业.数据分析/挖掘经验.数据挖掘.数据分析.建模
5-10年,大专,广州,天河区,天河公园,20,35K,天纵游戏,ETL开发经验.大数据开发经验.数仓建设经验.数模设计
5-10年,本科,广州,越秀区,东风东,13,20K,润和软件,Scala.Java.数学/统计相关专业.fink.ck
3-5年,本科,广州,黄埔区,科学城,11,20K,东方金信,Spark.Hbase.Kafka.HDFS.Flink.Flume.Impala.Streaming
1-3年,本科,广州,,,15,25K,某500强上市公司,ETL设计/开发经验.大数据开发经验
3-5年,本科,广州,天河区,跑马场,12,16K·13薪,前海汇,大数据开发经验
5-10年,大专,广州,天河区,燕岭,25,35K,华能机电,SQL.Python.Hive.计算机相关专业
1-3年,本科,广州,番禺区,长隆,6,11K,沁天咨询,产品咨询.技术沟通
3-5年,本科,广州,天河区,珠江新城,13,23K,赛意信息,大数据.售前支持.人工智能.运营商
3-5年,本科,广州,天河区,珠江新城,8,13K,泛华金融服务集团,kittle、hadoop.Hive.ETL开发经验.Hbase.hivesql.设计/调度/监控/算法
3-5年,大专,广州,黄埔区,科学城,9,12K,法本,风控相关经验.风控模型
3-5年,本科,广州,从化区,江埔,10,15K·13薪,中科特瑞,Kettle/Informatica.MySQL/Oracle/DB2.Java.ETL设计/开发经验.计算机相关专业.DataServcies.Greenplum.scala、python
5-10年,本科,广州,,,25,35K·15薪,某大型互联网金融公司,大数据开发经验.计算机相关专业.数学/统计相关专业
3-5年,本科,广州,天河区,天河北,13,26K,德科信息,Hbase.Java.Spark.大数据开发经验.实时计算
经验不限,本科,广州,天河区,东圃,10,20K,广州一扬指网络科...,SQL.Java.PowerBI.金融行业数据相关经验.大数据开发经验.数仓设计/开发经验.报表.开发.银行
经验不限,博士,广州,南沙区,珠江旧镇,20,30K,广州中科院软件所,系统架构.运维管理
1-3年,大专,广州,天河区,珠江新城,10,15K,蚁群信息科技,研究导向.机器学习算法.人工智能
在校/应届,博士,广州,,,25,50K,某大型互联网公司,Kettle.Flink.MaxCompute.DataWorks
经验不限,高中,广州,番禺区,番禺广场,7,12K,云领未来网络科技,Hbase.Spark.hadoop
3-5年,大专,广州,天河区,岑村,16,17K,光科技术,客户关系维护.微信营销.其他线上社区营销.医疗/大健康.互联网/科技.网络营销经验.电话销售经验
1-3年,大专,广州,黄埔区,科学城,7,10K,广州华银康,Hadoop.hive.数据仓库ES
1-3年,本科,广州,天河区,珠江新城,8,12K·13薪,玛氏箭牌,医学检验.初级检验技师.初级检验技士.双休.销售.临床推广.血液科.大企业
1-3年,本科,广州,越秀区,火车站,8,16K,弘栎电子,HIVE.Spark.Hadoop.Impala.Hbase.Kettle.Python.SQL
1-3年,本科,广州,越秀区,环市东,15,16K,飞虎商联(广州)...,数据挖掘.数据架构.数据处理
3-5年,大专,广州,番禺区,华南,15,17K,得逸信息,Java
1-3年,学历不限,广州,天河区,棠下,9,14K,宜通衡睿,ETL开发经验.datemax.quickbi.前端工具
3-5年,大专,广州,番禺区,大学城,28,45K,奥得科技,搜索/推荐.风控/反欺诈.智能营销/广告.Python.R.Hadoop/Hive/Spark.计算机相关专业.机器学习算法/工程化经验.深度学习经验
1-3年,本科,广州,,,15,26K,某知名互联网上市公司,Java
3-5年,大专,广州,番禺区,钟村,10,15K,晨星,Python.Java.SQL
5-10年,本科,广州,番禺区,南村,20,35K·14薪,SHEIN,Java.Python.Scala.大数据开发经验
1-3年,本科,广州,天河区,五山,10,11K,汉风教育,Hive.Spark.Hbase.大数据开发经验.数仓建设经验.ETL开发经验
3-5年,本科,广州,越秀区,五羊新城,15,30K·14薪,南方+,运营管理.战略管理
3-5年,大专,广州,白云区,机场路,10,15K,一科智能,Hive.数据分析.数据产品经理
5-10年,本科,广州,番禺区,南村,25,40K·14薪,SHEIN,Java.SQL.Oracle.MySQL.Spark.Hbase.Sqoop
3-5年,本科,广州,越秀区,水荫,14,19K·13薪,瑞遥科技,Hbase.计算机相关专业
1-3年,大专,广州,番禺区,石基,8,12K,八通电子,SQL.Hive.Spark.计算机相关专业.大数据开发经验.ETL开发经验
3-5年,本科,广州,黄埔区,科学城,11,14K,佰聆数据,架构师.MySQL.计算机/软件工程相关经验.大数据处理经验.服务器端开发.数据库.C#
3-5年,本科,广州,越秀区,水荫,14,20K,煜晨科技,MySQL/Oracle/DB2.Java.Shell.ETL设计/开发经验.大数据开发经验.Linux
1-3年,本科,广州,海珠区,赤岗,12,24K,药师帮,HIVE.Hive.Shell.Kettle.ETL开发经验.Hadoop.Kafka.计算机相关专业.Spark.SQL.数学/统计相关专业
3-5年,本科,广州,荔湾区,龙溪,15,28K,绿瘦健康产业集团,Python.Spark.HIVE.Hadoop
3-5年,本科,广州,天河区,员村,12,20K,中国电信亿迅科技,Hive.Spark.Flink.计算机相关专业.大数据开发经验
3-5年,大专,广州,越秀区,东风东,8,13K,优普计算机,Python.Spark.Hadoop.Flink
3-5年,本科,广州,天河区,跑马场,13,16K,前海明粤,Python.Shell.Java.SQL.Linux.运维开发.Hadoop
3-5年,本科,广州,,,30,60K,某大型知名互联网公司,HIVE.Sqoop.Hadoop.Spark
5-10年,大专,广州,,,40,60K·16薪,某知名大数据企业,Hbase.Spark.Java.大数据开发经验
3-5年,本科,广州,天河区,岑村,12,16K,广州亚信信息技术,Java.Spark.Kafka.大数据平台架构经验.数据平台
